session_id,scenario_id,probe_id,choice,mission,denial,risktol,timeurg
27299460,st-september-2023,select-tag-a,A,2,2,8,2
27299460,st-september-2023,select-tag-a,B,2,2,7,3
27299460,st-september-2023,select-tag-a,C,8,2,3,8
27299460,st-september-2023,select-tag-a,D,8,8,2,8
27299460,st-september-2023,select-tag-b,A,3,8,8,2
27299460,st-september-2023,select-tag-b,B,8,7,7,2
27299460,st-september-2023,select-tag-b,C,2,2,8,8
27299460,st-september-2023,select-tag-b,D,2,8,8,3
27299460,st-september-2023,select-tag-c,A,3,2,8,2
27299460,st-september-2023,select-tag-c,B,7,2,7,3
27299460,st-september-2023,select-tag-c,C,8,2,2,7
27299460,st-september-2023,select-tag-c,D,2,8,8,8
27299460,st-september-2023,select-tag-d,A,3,8,8,2
27299460,st-september-2023,select-tag-d,B,3,4,7,7
27299460,st-september-2023,select-tag-d,C,7,2,3,8
27299460,st-september-2023,select-tag-d,D,8,8,8,8
27299460,st-september-2023,select-tag-e,A,8,7,7,2
27299460,st-september-2023,select-tag-e,B,2,3,6,7
27299460,st-september-2023,select-tag-e,C,2,2,3,8
27299460,st-september-2023,select-tag-e,D,8,8,8,8
27299460,st-september-2023,select-casualty-abcd,A,2,2,8,2
27299460,st-september-2023,select-casualty-abcd,B,7,7,7,3
27299460,st-september-2023,select-casualty-abcd,C,8,8,8,3
27299460,st-september-2023,select-casualty-abcd,D,3,8,7,8
27299460,st-september-2023,select-casualty-abde,A,2,2,8,2
27299460,st-september-2023,select-casualty-abde,B,8,8,3,7
27299460,st-september-2023,select-casualty-abde,C,8,8,2,8
27299460,st-september-2023,select-casualty-abde,D,2,3,8,2
27299460,st-september-2023,select-casualty-bcde,A,8,2,8,3
27299460,st-september-2023,select-casualty-bcde,B,8,8,3,3
27299460,st-september-2023,select-casualty-bcde,C,2,8,2,8
27299460,st-september-2023,select-casualty-bcde,D,2,2,8,2
27299460,st-september-2023,select-first-treatment-a,A,2,6,8,2
27299460,st-september-2023,select-first-treatment-a,B,8,2,2,3
27299460,st-september-2023,select-first-treatment-a,C,2,2,7,2
27299460,st-september-2023,select-first-treatment-a,D,2,2,8,2
27299460,st-september-2023,select-first-treatment-b,A,8,7,2,2
27299460,st-september-2023,select-first-treatment-b,B,7,2,4,4
27299460,st-september-2023,select-first-treatment-b,C,7,3,4,7
27299460,st-september-2023,select-first-treatment-b,D,2,2,2,7
27299460,st-september-2023,select-first-treatment-c,A,8,2,2,7
27299460,st-september-2023,select-first-treatment-c,B,2,2,3,2
27299460,st-september-2023,select-first-treatment-c,C,7,2,6,8
27299460,st-september-2023,select-first-treatment-c,D,2,2,3,2
27299460,st-september-2023,select-first-treatment-d,A,6,2,7,3
27299460,st-september-2023,select-first-treatment-d,B,2,2,8,2
27299460,st-september-2023,select-first-treatment-d,C,2,2,8,2
27299460,st-september-2023,select-first-treatment-d,D,7,2,2,8
27299460,st-september-2023,select-first-treatment-e,A,2,2,7,6
27299460,st-september-2023,select-first-treatment-e,B,2,2,7,2
27299460,st-september-2023,select-first-treatment-e,C,2,2,7,2
27299460,st-september-2023,select-first-treatment-e,D,2,2,7,8
27299460,st-september-2023,select-post-assessment-treatment-a,A,6,8,4,8
27299460,st-september-2023,select-post-assessment-treatment-a,B,6,2,7,2
27299460,st-september-2023,select-post-assessment-treatment-a,C,2,2,8,2
27299460,st-september-2023,select-post-assessment-treatment-a,D,2,2,7,2
27299460,st-september-2023,select-post-assessment-treatment-b,A,2,8,8,7
27299460,st-september-2023,select-post-assessment-treatment-b,B,6,2,3,2
27299460,st-september-2023,select-post-assessment-treatment-b,C,6,3,7,3
27299460,st-september-2023,select-post-assessment-treatment-b,D,6,2,3,3
27299460,st-september-2023,select-post-assessment-treatment-c,A,2,8,8,8
27299460,st-september-2023,select-post-assessment-treatment-c,B,8,2,2,2
27299460,st-september-2023,select-post-assessment-treatment-c,C,7,3,2,3
27299460,st-september-2023,select-post-assessment-treatment-c,D,7,2,4,3
27299460,st-september-2023,select-post-assessment-treatment-d,A,2,8,8,8
27299460,st-september-2023,select-post-assessment-treatment-d,B,2,2,8,2
27299460,st-september-2023,select-post-assessment-treatment-d,C,2,2,8,2
27299460,st-september-2023,select-post-assessment-treatment-d,D,7,2,2,8
27299460,st-september-2023,select-post-assessment-treatment-e,A,7,8,3,8
27299460,st-september-2023,select-post-assessment-treatment-e,B,2,2,2,2
27299460,st-september-2023,select-post-assessment-treatment-e,C,2,2,2,3
27299460,st-september-2023,select-post-assessment-treatment-e,D,2,2,2,8
07972402,st-september-2023,select-tag-a,A,2,2,2,8
07972402,st-september-2023,select-tag-a,B,2,7,7,6
07972402,st-september-2023,select-tag-a,C,2,8,8,7
07972402,st-september-2023,select-tag-a,D,2,8,2,8
07972402,st-september-2023,select-tag-b,A,3,7,3,2
07972402,st-september-2023,select-tag-b,B,7,6,7,2
07972402,st-september-2023,select-tag-b,C,2,8,8,7
07972402,st-september-2023,select-tag-b,D,7,2,2,2
07972402,st-september-2023,select-tag-c,A,2,2,8,2
07972402,st-september-2023,select-tag-c,B,7,6,7,3
07972402,st-september-2023,select-tag-c,C,8,2,6,7
07972402,st-september-2023,select-tag-c,D,2,8,3,2
07972402,st-september-2023,select-tag-d,A,2,8,2,2
07972402,st-september-2023,select-tag-d,B,3,7,3,4
07972402,st-september-2023,select-tag-d,C,2,3,7,2
07972402,st-september-2023,select-tag-d,D,3,2,2,2
07972402,st-september-2023,select-tag-e,A,8,2,2,2
07972402,st-september-2023,select-tag-e,B,6,3,7,3
07972402,st-september-2023,select-tag-e,C,4,8,8,7
07972402,st-september-2023,select-tag-e,D,8,2,2,2
07972402,st-september-2023,select-casualty-abcd,A,2,8,8,2
07972402,st-september-2023,select-casualty-abcd,B,7,7,7,3
07972402,st-september-2023,select-casualty-abcd,C,8,7,3,3
07972402,st-september-2023,select-casualty-abcd,D,8,3,7,3
07972402,st-september-2023,select-casualty-abde,A,2,8,8,2
07972402,st-september-2023,select-casualty-abde,B,3,7,7,7
07972402,st-september-2023,select-casualty-abde,C,3,8,3,3
07972402,st-september-2023,select-casualty-abde,D,2,3,7,2
07972402,st-september-2023,select-casualty-bcde,A,3,7,7,2
07972402,st-september-2023,select-casualty-bcde,B,7,2,3,7
07972402,st-september-2023,select-casualty-bcde,C,2,2,7,3
07972402,st-september-2023,select-casualty-bcde,D,2,2,7,2
07972402,st-september-2023,select-first-treatment-a,A,2,3,8,3
07972402,st-september-2023,select-first-treatment-a,B,4,3,2,7
07972402,st-september-2023,select-first-treatment-a,C,2,7,7,2
07972402,st-september-2023,select-first-treatment-a,D,2,7,8,2
07972402,st-september-2023,select-first-treatment-b,A,2,3,8,3
07972402,st-september-2023,select-first-treatment-b,B,4,3,2,7
07972402,st-september-2023,select-first-treatment-b,C,2,3,7,2
07972402,st-september-2023,select-first-treatment-b,D,2,3,2,2
07972402,st-september-2023,select-first-treatment-c,A,7,3,3,3
07972402,st-september-2023,select-first-treatment-c,B,4,3,3,4
07972402,st-september-2023,select-first-treatment-c,C,4,3,2,2
07972402,st-september-2023,select-first-treatment-c,D,7,3,3,4
07972402,st-september-2023,select-first-treatment-d,A,3,3,6,6
07972402,st-september-2023,select-first-treatment-d,B,3,3,6,6
07972402,st-september-2023,select-first-treatment-d,C,2,3,7,8
07972402,st-september-2023,select-first-treatment-d,D,4,3,6,4
07972402,st-september-2023,select-first-treatment-e,A,2,3,7,4
07972402,st-september-2023,select-first-treatment-e,B,2,3,7,4
07972402,st-september-2023,select-first-treatment-e,C,2,3,7,2
07972402,st-september-2023,select-first-treatment-e,D,2,3,6,3
07972402,st-september-2023,select-post-assessment-treatment-a,A,8,7,2,8
07972402,st-september-2023,select-post-assessment-treatment-a,B,3,7,6,7
07972402,st-september-2023,select-post-assessment-treatment-a,C,3,8,7,3
07972402,st-september-2023,select-post-assessment-treatment-a,D,3,8,8,2
07972402,st-september-2023,select-post-assessment-treatment-b,A,7,8,2,8
07972402,st-september-2023,select-post-assessment-treatment-b,B,7,6,3,7
07972402,st-september-2023,select-post-assessment-treatment-b,C,3,3,4,6
07972402,st-september-2023,select-post-assessment-treatment-b,D,3,2,7,3
07972402,st-september-2023,select-post-assessment-treatment-c,A,2,7,8,8
07972402,st-september-2023,select-post-assessment-treatment-c,B,3,6,6,7
07972402,st-september-2023,select-post-assessment-treatment-c,C,2,3,3,3
07972402,st-september-2023,select-post-assessment-treatment-c,D,7,7,7,7
07972402,st-september-2023,select-post-assessment-treatment-d,A,8,8,2,8
07972402,st-september-2023,select-post-assessment-treatment-d,B,7,7,3,7
07972402,st-september-2023,select-post-assessment-treatment-d,C,4,7,2,3
07972402,st-september-2023,select-post-assessment-treatment-d,D,6,7,7,8
07972402,st-september-2023,select-post-assessment-treatment-e,A,8,2,2,8
07972402,st-september-2023,select-post-assessment-treatment-e,B,7,6,3,6
07972402,st-september-2023,select-post-assessment-treatment-e,C,3,7,2,2
07972402,st-september-2023,select-post-assessment-treatment-e,D,7,7,3,4
90294653,st-september-2023,select-tag-a,A,2,2,2,2
90294653,st-september-2023,select-tag-a,B,2,3,3,3
90294653,st-september-2023,select-tag-a,C,2,6,3,7
90294653,st-september-2023,select-tag-a,D,8,7,8,8
90294653,st-september-2023,select-tag-b,A,8,3,3,3
90294653,st-september-2023,select-tag-b,B,8,8,6,6
90294653,st-september-2023,select-tag-b,C,2,6,3,6
90294653,st-september-2023,select-tag-b,D,2,2,2,8
90294653,st-september-2023,select-tag-c,A,8,3,3,6
90294653,st-september-2023,select-tag-c,B,8,8,6,6
90294653,st-september-2023,select-tag-c,C,4,3,3,6
90294653,st-september-2023,select-tag-c,D,2,2,2,8
90294653,st-september-2023,select-tag-d,A,3,8,8,8
90294653,st-september-2023,select-tag-d,B,8,7,7,6
90294653,st-september-2023,select-tag-d,C,3,6,3,7
90294653,st-september-2023,select-tag-d,D,2,2,2,8
90294653,st-september-2023,select-tag-e,A,2,2,4,2
90294653,st-september-2023,select-tag-e,B,3,6,6,3
90294653,st-september-2023,select-tag-e,C,8,8,6,8
90294653,st-september-2023,select-tag-e,D,3,4,2,8
90294653,st-september-2023,select-casualty-abcd,A,2,2,3,2
90294653,st-september-2023,select-casualty-abcd,B,7,2,4,2
90294653,st-september-2023,select-casualty-abcd,C,8,2,6,3
90294653,st-september-2023,select-casualty-abcd,D,6,2,8,2
90294653,st-september-2023,select-casualty-abde,A,2,2,3,2
90294653,st-september-2023,select-casualty-abde,B,7,2,3,4
90294653,st-september-2023,select-casualty-abde,C,7,8,8,6
90294653,st-september-2023,select-casualty-abde,D,2,3,2,4
90294653,st-september-2023,select-casualty-bcde,A,8,3,3,2
90294653,st-september-2023,select-casualty-bcde,B,2,3,3,6
90294653,st-september-2023,select-casualty-bcde,C,8,8,8,7
90294653,st-september-2023,select-casualty-bcde,D,2,3,2,7
90294653,st-september-2023,select-first-treatment-a,A,8,3,6,8
90294653,st-september-2023,select-first-treatment-a,B,8,3,3,8
90294653,st-september-2023,select-first-treatment-a,C,2,3,3,6
90294653,st-september-2023,select-first-treatment-a,D,3,3,3,6
90294653,st-september-2023,select-first-treatment-b,A,6,3,3,8
90294653,st-september-2023,select-first-treatment-b,B,6,3,6,8
90294653,st-september-2023,select-first-treatment-b,C,7,3,7,8
90294653,st-september-2023,select-first-treatment-b,D,8,7,8,8
90294653,st-september-2023,select-first-treatment-c,A,8,7,8,8
90294653,st-september-2023,select-first-treatment-c,B,7,3,3,8
90294653,st-september-2023,select-first-treatment-c,C,6,3,7,7
90294653,st-september-2023,select-first-treatment-c,D,8,3,3,4
90294653,st-september-2023,select-first-treatment-d,A,4,3,6,8
90294653,st-september-2023,select-first-treatment-d,B,3,3,2,8
90294653,st-september-2023,select-first-treatment-d,C,2,2,6,6
90294653,st-september-2023,select-first-treatment-d,D,8,7,8,7
90294653,st-september-2023,select-first-treatment-e,A,8,2,6,8
90294653,st-september-2023,select-first-treatment-e,B,2,2,2,7
90294653,st-september-2023,select-first-treatment-e,C,2,2,3,7
90294653,st-september-2023,select-first-treatment-e,D,2,2,8,7
90294653,st-september-2023,select-post-assessment-treatment-a,A,8,3,2,2
90294653,st-september-2023,select-post-assessment-treatment-a,B,7,2,8,8
90294653,st-september-2023,select-post-assessment-treatment-a,C,3,2,3,4
90294653,st-september-2023,select-post-assessment-treatment-a,D,2,2,2,3
90294653,st-september-2023,select-post-assessment-treatment-b,A,3,3,2,2
90294653,st-september-2023,select-post-assessment-treatment-b,B,7,3,2,6
90294653,st-september-2023,select-post-assessment-treatment-b,C,6,3,8,8
90294653,st-september-2023,select-post-assessment-treatment-b,D,8,3,2,3
90294653,st-september-2023,select-post-assessment-treatment-c,A,2,3,2,2
90294653,st-september-2023,select-post-assessment-treatment-c,B,7,3,7,6
90294653,st-september-2023,select-post-assessment-treatment-c,C,7,3,7,6
90294653,st-september-2023,select-post-assessment-treatment-c,D,8,3,8,8
90294653,st-september-2023,select-post-assessment-treatment-d,A,2,2,2,2
90294653,st-september-2023,select-post-assessment-treatment-d,B,3,3,7,2
90294653,st-september-2023,select-post-assessment-treatment-d,C,2,3,6,2
90294653,st-september-2023,select-post-assessment-treatment-d,D,3,2,8,8
90294653,st-september-2023,select-post-assessment-treatment-e,A,2,2,2,2
90294653,st-september-2023,select-post-assessment-treatment-e,B,2,2,2,4
90294653,st-september-2023,select-post-assessment-treatment-e,C,2,2,6,6
90294653,st-september-2023,select-post-assessment-treatment-e,D,2,2,8,8
01496463,st-september-2023,select-tag-a,A,0,2,2,8
01496463,st-september-2023,select-tag-a,B,0,2,2,2
01496463,st-september-2023,select-tag-a,C,0,3,7,7
01496463,st-september-2023,select-tag-a,D,8,8,2,8
01496463,st-september-2023,select-tag-b,A,6,2,6,8
01496463,st-september-2023,select-tag-b,B,7,4,4,8
01496463,st-september-2023,select-tag-b,C,2,6,3,4
01496463,st-september-2023,select-tag-b,D,2,8,7,8
01496463,st-september-2023,select-tag-c,A,7,8,0,8
01496463,st-september-2023,select-tag-c,B,4,8,2,6
01496463,st-september-2023,select-tag-c,C,6,2,2,0
01496463,st-september-2023,select-tag-c,D,2,8,0,8
01496463,st-september-2023,select-tag-d,A,0,8,8,8
01496463,st-september-2023,select-tag-d,B,0,6,7,6
01496463,st-september-2023,select-tag-d,C,0,3,2,4
01496463,st-september-2023,select-tag-d,D,7,8,8,8
01496463,st-september-2023,select-tag-e,A,0,8,8,8
01496463,st-september-2023,select-tag-e,B,0,4,4,8
01496463,st-september-2023,select-tag-e,C,0,4,2,4
01496463,st-september-2023,select-tag-e,D,7,8,8,8
01496463,st-september-2023,select-casualty-abcd,A,2,2,7,7
01496463,st-september-2023,select-casualty-abcd,B,4,2,6,6
01496463,st-september-2023,select-casualty-abcd,C,8,2,3,7
01496463,st-september-2023,select-casualty-abcd,D,4,2,2,4
01496463,st-september-2023,select-casualty-abde,A,2,2,7,7
01496463,st-september-2023,select-casualty-abde,B,4,2,6,6
01496463,st-september-2023,select-casualty-abde,C,4,2,2,4
01496463,st-september-2023,select-casualty-abde,D,4,2,3,2
01496463,st-september-2023,select-casualty-bcde,A,4,2,7,6
01496463,st-september-2023,select-casualty-bcde,B,8,2,3,7
01496463,st-september-2023,select-casualty-bcde,C,4,2,2,4
01496463,st-september-2023,select-casualty-bcde,D,4,2,3,2
01496463,st-september-2023,select-first-treatment-a,A,4,3,2,2
01496463,st-september-2023,select-first-treatment-a,B,6,7,3,3
01496463,st-september-2023,select-first-treatment-a,C,4,2,2,2
01496463,st-september-2023,select-first-treatment-a,D,0,2,8,2
01496463,st-september-2023,select-first-treatment-b,A,6,3,2,2
01496463,st-september-2023,select-first-treatment-b,B,6,7,3,3
01496463,st-september-2023,select-first-treatment-b,C,4,2,2,2
01496463,st-september-2023,select-first-treatment-b,D,0,2,7,2
01496463,st-september-2023,select-first-treatment-c,A,8,3,2,2
01496463,st-september-2023,select-first-treatment-c,B,7,3,3,3
01496463,st-september-2023,select-first-treatment-c,C,0,2,2,2
01496463,st-september-2023,select-first-treatment-c,D,4,2,2,2
01496463,st-september-2023,select-first-treatment-d,A,6,3,2,2
01496463,st-september-2023,select-first-treatment-d,B,6,3,3,3
01496463,st-september-2023,select-first-treatment-d,C,4,2,2,2
01496463,st-september-2023,select-first-treatment-d,D,4,2,6,2
01496463,st-september-2023,select-first-treatment-e,A,6,3,2,2
01496463,st-september-2023,select-first-treatment-e,B,6,0,3,3
01496463,st-september-2023,select-first-treatment-e,C,4,2,2,2
01496463,st-september-2023,select-first-treatment-e,D,4,2,6,2
01496463,st-september-2023,select-post-assessment-treatment-a,A,8,8,2,8
01496463,st-september-2023,select-post-assessment-treatment-a,B,7,7,3,4
01496463,st-september-2023,select-post-assessment-treatment-a,C,2,2,4,3
01496463,st-september-2023,select-post-assessment-treatment-a,D,2,2,2,2
01496463,st-september-2023,select-post-assessment-treatment-b,A,3,4,4,4
01496463,st-september-2023,select-post-assessment-treatment-b,B,6,4,4,4
01496463,st-september-2023,select-post-assessment-treatment-b,C,6,4,4,4
01496463,st-september-2023,select-post-assessment-treatment-b,D,0,3,3,2
01496463,st-september-2023,select-post-assessment-treatment-c,A,2,8,7,8
01496463,st-september-2023,select-post-assessment-treatment-c,B,6,3,0,4
01496463,st-september-2023,select-post-assessment-treatment-c,C,0,2,2,2
01496463,st-september-2023,select-post-assessment-treatment-c,D,8,2,2,4
01496463,st-september-2023,select-post-assessment-treatment-d,A,7,8,8,8
01496463,st-september-2023,select-post-assessment-treatment-d,B,6,3,6,3
01496463,st-september-2023,select-post-assessment-treatment-d,C,0,2,4,3
01496463,st-september-2023,select-post-assessment-treatment-d,D,4,2,4,4
01496463,st-september-2023,select-post-assessment-treatment-e,A,7,8,8,8
01496463,st-september-2023,select-post-assessment-treatment-e,B,4,3,6,3
01496463,st-september-2023,select-post-assessment-treatment-e,C,0,2,4,2
01496463,st-september-2023,select-post-assessment-treatment-e,D,4,2,4,4
