CaseNumber,Background,PatientTreated,Scenario,Risk aversion,Mission,Treatment 1,Treatment 2,Treatment 3,Treatment 4,Treatment 5,Treatment 6,"if Casualty A then treatment 1, treatment 2, treatment 3","if Casualty B then treatment 1, treatment 2, treatment 3","if Casualty C then treatment 1, treatment 2, treatment 3","if Casualty D then treatment 4, treatment 5, treatment 6","if Casualty E then treatment 4, treatment 5, treatment 6","if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6",if safe area then treatment 1 survival rate is high,if safe then exclude the highest,if danger then exclude the lowest,if low risk then favor higher,if high risk then favor lower,M Mission,M Risk aversion,difference,new Decision,Decision
0,0,0,0,9,6,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,7,8,1.4142135623730951,0,0
1,0,0,1,9,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,8,1.4142135623730951,1,1
2,0,1,0,9,6,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,7,8,1.4142135623730951,0,0
3,0,1,1,9,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7,8,1.4142135623730951,1,1
4,0,2,0,9,6,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,7,8,1.4142135623730951,0,0
5,0,2,1,9,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7,8,1.4142135623730951,1,1
6,0,3,0,9,6,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,7,8,1.4142135623730951,3,3
7,0,3,1,9,6,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,7,8,1.4142135623730951,4,4
8,0,4,0,9,6,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,7,8,1.4142135623730951,3,3
9,0,4,1,9,6,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,7,8,1.4142135623730951,4,4
10,0,5,0,9,6,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,7,8,1.4142135623730951,1,1
11,0,5,1,9,6,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,7,8,1.4142135623730951,3,3
12,1,0,0,8,7,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,6,9,1.4142135623730951,0,0
13,1,0,1,8,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6,9,1.4142135623730951,1,1
14,1,1,0,8,7,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,6,9,1.4142135623730951,0,0
15,1,1,1,8,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6,9,1.4142135623730951,1,1
16,1,2,0,8,7,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,6,9,1.4142135623730951,0,0
17,1,2,1,8,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,6,9,1.4142135623730951,1,1
18,1,3,0,8,7,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,6,9,1.4142135623730951,3,3
19,1,3,1,8,7,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,6,9,1.4142135623730951,4,4
20,1,4,0,8,7,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,6,9,1.4142135623730951,3,3
21,1,4,1,8,7,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,6,9,1.4142135623730951,4,4
22,1,5,0,8,7,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,6,9,1.4142135623730951,1,1
23,1,5,1,8,7,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,6,9,1.4142135623730951,3,3
24,2,0,0,6,9,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,6,9,4.242640687119285,0,0
25,2,0,1,6,9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6,9,4.242640687119285,1,1
26,2,1,0,6,9,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,6,9,4.242640687119285,0,0
27,2,1,1,6,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6,9,4.242640687119285,1,1
28,2,2,0,6,9,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,6,9,4.242640687119285,0,0
29,2,2,1,6,9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,6,9,4.242640687119285,1,1
30,2,3,0,6,9,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,6,9,4.242640687119285,3,3
31,2,3,1,6,9,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,6,9,4.242640687119285,4,4
32,2,4,0,6,9,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,6,9,4.242640687119285,3,3
33,2,4,1,6,9,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,6,9,4.242640687119285,4,4
34,2,5,0,6,9,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,6,9,4.242640687119285,1,1
35,2,5,1,6,9,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,6,9,4.242640687119285,3,3
36,3,0,0,1,5,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,4,1,1.0,1,1
37,3,0,1,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,1,1.0,2,2
38,3,1,0,1,5,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,1,1.0,1,1
39,3,1,1,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,1.0,2,2
40,3,2,0,1,5,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,1,1.0,1,1
41,3,2,1,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,1,1.0,2,2
42,3,3,0,1,5,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,4,1,1.0,4,4
43,3,3,1,1,5,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,4,1,1.0,5,5
44,3,4,0,1,5,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,4,1,1.0,4,4
45,3,4,1,1,5,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,4,1,1.0,5,5
46,3,5,0,1,5,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,4,1,1.0,3,2
47,3,5,1,1,5,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,4,1,1.0,5,4
48,4,0,0,2,4,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,4,1,1.0,1,1
49,4,0,1,2,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,1,1.0,2,2
50,4,1,0,2,4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,1,1.0,1,1
51,4,1,1,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,1.0,2,2
52,4,2,0,2,4,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,1,1.0,1,1
53,4,2,1,2,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,1,1.0,2,2
54,4,3,0,2,4,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,4,1,1.0,4,4
55,4,3,1,2,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,4,1,1.0,5,5
56,4,4,0,2,4,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,4,1,1.0,4,4
57,4,4,1,2,4,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,4,1,1.0,5,5
58,4,5,0,2,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,4,1,1.0,3,2
59,4,5,1,2,4,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,4,1,1.0,5,4
60,5,0,0,1,4,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,4,2,1.0,1,1
61,5,0,1,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,2,1.0,2,2
62,5,1,0,1,4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,2,1.0,1,1
63,5,1,1,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,2,1.0,2,2
64,5,2,0,1,4,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,2,1.0,1,1
65,5,2,1,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,2,1.0,2,2
66,5,3,0,1,4,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,4,2,1.0,4,4
67,5,3,1,1,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,4,2,1.0,5,5
68,5,4,0,1,4,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,4,2,1.0,4,4
69,5,4,1,1,4,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,4,2,1.0,5,5
70,5,5,0,1,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,4,2,1.0,2,3
71,5,5,1,1,4,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,4,2,1.0,4,5
