new_instance,most_similar_instance
"{'DAMAGE_PER_SECOND': 61.4375, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 58.0, 'SUPPLIES_REMAINING': 14.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 32, 'avpu_rank': 1, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.50168090940911, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 1, 'pAirwayBlocked': 0.00039368043660854656, 'pBrainInjury': 0.11173929075420906, 'pDeath': 0.9189850533714193, 'relationship_rank': 0, 'treatment': 'Hemostatic gauze', 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 61.4375, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 58.0, 'SUPPLIES_REMAINING': 14.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 32, 'avpu_rank': 1, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.50168090940911, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 1, 'pAirwayBlocked': 0.00039368043660854656, 'pBrainInjury': 0.11173929075420906, 'pDeath': 0.9189850533714193, 'relationship_rank': 0, 'treatment': 'Hemostatic gauze', 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 162.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 99.5, 'SUPPLIES_REMAINING': 12.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 29, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.11656689021134, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00037888025374978464, 'pBrainInjury': 0.09168319902208143, 'pDeath': 0.9082043686852486, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 162.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 99.5, 'SUPPLIES_REMAINING': 12.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 29, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.11656689021134, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00037888025374978464, 'pBrainInjury': 0.09168319902208143, 'pDeath': 0.9082043686852486, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 162.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 99.5, 'SUPPLIES_REMAINING': 12.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 32, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.501680909409111, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003936804366085467, 'pBrainInjury': 0.11173929075420902, 'pDeath': 0.9189850533714193, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 162.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 99.5, 'SUPPLIES_REMAINING': 12.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 32, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.501680909409111, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003936804366085467, 'pBrainInjury': 0.11173929075420902, 'pDeath': 0.9189850533714193, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 89.0625, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 11.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 1, 'action_name': 'APPLY_TREATMENT', 'age': 29, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.11656689021134, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00037888025374978454, 'pBrainInjury': 0.09168319902208147, 'pDeath': 0.9082043686852486, 'relationship_rank': 0, 'treatment': 'Tourniquet', 'treatment_time': 10}","{'DAMAGE_PER_SECOND': 89.0625, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 11.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 1, 'action_name': 'APPLY_TREATMENT', 'age': 29, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.11656689021134, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00037888025374978454, 'pBrainInjury': 0.09168319902208147, 'pDeath': 0.9082043686852486, 'relationship_rank': 0, 'treatment': 'Tourniquet', 'treatment_time': 10}"
"{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303566, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.3155398369879075, 'pBrainInjury': 0.23653101689920306, 'pDeath': 0.6625635335801338, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303566, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.3155398369879075, 'pBrainInjury': 0.23653101689920306, 'pDeath': 0.6625635335801338, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 34, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.760634333688332, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00038939468524227025, 'pBrainInjury': 0.05323425091398646, 'pDeath': 0.8966242624469818, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 34, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.760634333688332, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00038939468524227025, 'pBrainInjury': 0.05323425091398646, 'pDeath': 0.8966242624469818, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 63.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 14.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303567, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.3155398369879076, 'pBrainInjury': 0.236531016899203, 'pDeath': 0.6625635335801339, 'relationship_rank': 0, 'treatment': 'Nasopharyngeal airway', 'treatment_time': 10}","{'DAMAGE_PER_SECOND': 63.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 14.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303567, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.3155398369879076, 'pBrainInjury': 0.236531016899203, 'pDeath': 0.6625635335801339, 'relationship_rank': 0, 'treatment': 'Nasopharyngeal airway', 'treatment_time': 10}"
"{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303566, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.3155398369879076, 'pBrainInjury': 0.236531016899203, 'pDeath': 0.6625635335801339, 'relationship_rank': 0, 'treatment_time': 30}","{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303566, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.3155398369879076, 'pBrainInjury': 0.236531016899203, 'pDeath': 0.6625635335801339, 'relationship_rank': 0, 'treatment_time': 30}"
"{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 34, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.01534019552191, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0020080762795600528, 'pBrainInjury': 0.24442375077134817, 'pDeath': 0.9035050896397164, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 34, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 4.01534019552191, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0020080762795600528, 'pBrainInjury': 0.24442375077134817, 'pDeath': 0.9035050896397164, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'MOVE_TO_EVAC', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303566, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.31553983698790755, 'pBrainInjury': 0.23653101689920308, 'pDeath': 0.6625635335801339, 'relationship_rank': 0, 'treatment_time': 40}","{'DAMAGE_PER_SECOND': 120.5, 'Exhaustive Priority': True, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': True, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'MOVE_TO_EVAC', 'age': 31, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Allied US', 'disposition_rank': 0, 'entropy': 7.336187300303566, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.31553983698790755, 'pBrainInjury': 0.23653101689920308, 'pDeath': 0.6625635335801339, 'relationship_rank': 0, 'treatment_time': 40}"
"{'DAMAGE_PER_SECOND': 65.25, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.722494432188583, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003779050562519517, 'pBrainInjury': 0.053413608928541745, 'pDeath': 0.8947962605768127, 'relationship_rank': 0, 'treatment': 'Hemostatic gauze', 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 65.25, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 15.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.722494432188583, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003779050562519517, 'pBrainInjury': 0.053413608928541745, 'pDeath': 0.8947962605768127, 'relationship_rank': 0, 'treatment': 'Hemostatic gauze', 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 125.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 13.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.760634333688332, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00038939468524227015, 'pBrainInjury': 0.053234250913986446, 'pDeath': 0.8966242624469817, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 125.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 13.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.760634333688332, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.00038939468524227015, 'pBrainInjury': 0.053234250913986446, 'pDeath': 0.8966242624469817, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 125.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 13.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 72, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.760634333688333, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003893946852422703, 'pBrainInjury': 0.053234250913986446, 'pDeath': 0.8966242624469818, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 125.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 13.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 72, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.760634333688333, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003893946852422703, 'pBrainInjury': 0.053234250913986446, 'pDeath': 0.8966242624469818, 'relationship_rank': 0, 'treatment_time': 0}"
"{'DAMAGE_PER_SECOND': 65.9375, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 12.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.760634333688332, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003893946852422702, 'pBrainInjury': 0.053234250913986446, 'pDeath': 0.8966242624469817, 'relationship_rank': 0, 'treatment': 'Hemostatic gauze', 'treatment_time': 10}","{'DAMAGE_PER_SECOND': 65.9375, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 12.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 3, 'action_name': 'APPLY_TREATMENT', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.760634333688332, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003893946852422702, 'pBrainInjury': 0.053234250913986446, 'pDeath': 0.8966242624469817, 'relationship_rank': 0, 'treatment': 'Hemostatic gauze', 'treatment_time': 10}"
"{'DAMAGE_PER_SECOND': 125.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 16.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.722494432188584, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003779050562519517, 'pBrainInjury': 0.053413608928541745, 'pDeath': 0.8947962605768127, 'relationship_rank': 0, 'treatment_time': 0}","{'DAMAGE_PER_SECOND': 125.0, 'Exhaustive Priority': False, 'MEDSIM_P_DEATH_ONE_MIN_LATER': 1.0, 'SEVEREST_SEVERITY_CHANGE': 62.5, 'SUPPLIES_REMAINING': 16.0, 'Tallying Priority': False, 'WEIGHTED_RESOURCE_SCORE': 5, 'action_name': 'TAG_CHARACTER', 'age': 25, 'avpu_rank': 0, 'directness_of_causality': None, 'disposition': 'Civilian', 'disposition_rank': 0, 'entropy': 4.722494432188584, 'hrpmin': 'FAST', 'inj_severity_rank': 0, 'intent': None, 'mental_status_rank': 0, 'pAirwayBlocked': 0.0003779050562519517, 'pBrainInjury': 0.053413608928541745, 'pDeath': 0.8947962605768127, 'relationship_rank': 0, 'treatment_time': 0}"
